industry,contents,year,value
Total industry,Employed persons. Employees and self-employed (1000 persons),2010,2555.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2011,2592.4
Total industry,Employed persons. Employees and self-employed (1000 persons),2012,2645.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2013,2675.6
Total industry,Employed persons. Employees and self-employed (1000 persons),2014,2701.5
Total industry,Employed persons. Employees and self-employed (1000 persons),2015,2712.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2016,2719.8
Total industry,Employed persons. Employees and self-employed (1000 persons),2017,2751.4
Total industry,Employed persons. Employees and self-employed (1000 persons),2018,2796.9
Total industry,Employed persons. Employees and self-employed (1000 persons),2019,2841.1
Total industry,Employed persons. Employees and self-employed (1000 persons),2020,2799.0
Total industry,Employed persons. Employees and self-employed (1000 persons),2021,2829.4
Total industry,Employed persons. Employees and self-employed (1000 persons),2022,2937.6
Total industry,Employed persons. Employees and self-employed (1000 persons),2023,2973.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2024,2993.0
Total industry,Employed persons. Employees and self-employed (1000 persons),2025,3013.2
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2010,231.8
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2011,230.7
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2012,233.5
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2013,236.0
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2014,236.9
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2015,229.7
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2016,219.8
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2017,216.1
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2018,219.0
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2019,223.9
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2020,219.4
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2021,219.2
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2022,224.8
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2023,227.6
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2024,230.3
Manufacturing,Employed persons. Employees and self-employed (1000 persons),2025,234.7
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2010,85.8
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2011,87.0
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2012,88.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2013,89.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2014,91.8
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2015,93.1
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2016,92.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2017,93.8
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2018,97.1
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2019,102.0
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2020,100.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2021,106.5
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2022,115.2
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2023,118.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2024,118.9
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2025,118.4
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2010,51.4
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2011,50.2
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2012,50.1
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2013,49.5
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2014,49.1
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2015,48.3
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2016,47.8
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2017,47.2
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2018,46.9
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2019,47.3
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2020,47.9
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2021,49.0
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2022,50.3
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2023,52.3
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2024,54.3
Financial and insurance activities,Employed persons. Employees and self-employed (1000 persons),2025,54.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2010,122.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2011,124.3
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2012,127.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2013,130.1
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2014,132.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2015,133.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2016,131.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2017,132.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2018,138.2
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2019,143.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2020,143.0
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2021,145.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2022,153.9
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2023,160.4
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2024,162.7
"Professional, scientific and and technical activities",Employed persons. Employees and self-employed (1000 persons),2025,164.4
